File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2021-06-28,2021-06-24,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,3.2300,"-155,486",-502,nan,"6,646,805"
2021-06-24,2021-06-23,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,3.2300,"-67,445",-218,nan,"6,802,291"
2021-06-24,2021-06-22,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,3.1100,"-49,943",-155,nan,"6,869,736"
2021-06-22,2021-06-21,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,3.1000,"-5,411",-17,nan,"6,919,679"
2021-06-22,2021-06-18,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,3.2300,"-1,432",-5,nan,"6,925,090"
2021-06-21,2021-06-17,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,3.2300,"-56,145",-181,nan,"6,926,522"
2021-06-21,2021-06-16,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,3.5100,"-3,500",-12,nan,"6,982,667"
2021-06-16,2021-06-15,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,3.5000,"-11,300",-40,nan,"6,986,167"
2021-06-16,2021-06-14,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,3.5100,"-70,000",-246,nan,"6,997,467"
2021-06-16,2021-06-14,4,Stieber Jeffrey,HYMC,Class A Common Stock,S - Sale,,D,nan,3.6700,"-12,914",-47,nan,"41,909"
2021-06-15,2021-06-11,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,3.7800,"-101,564",-384,nan,"7,067,467"
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Warrants,S - Sale,,I,11.50,0.4000,"-263,242",-105,"10,101,029",nan
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Warrants,S - Sale,,I,11.50,0.4000,"-131,621",-53,"10,364,271",nan
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,3.5000,"-459,695","-1,609",nan,"24,406,783"
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,3.5000,"-200,000",-700,nan,"24,866,478"
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,3.5000,"-7,500",-26,nan,"25,066,478"
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,3.5000,"-55,000",-192,nan,"25,073,978"
2021-06-10,2021-06-08,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,3.5000,"-55,000",-192,nan,"25,128,978"
2021-06-10,2021-06-08,4,GARRETT DIANE R,HYMC,Class A Common Stock,P - Purchase,,D,nan,3.5000,"55,000",192,nan,"366,615"
2021-06-10,2021-06-08,4,RIDEOUT STANTON K,HYMC,Class A Common Stock,P - Purchase,,D,nan,3.5000,"55,000",192,nan,"201,094"
2021-06-10,2021-06-08,4,Harrison Michael James,HYMC,Class A Common Stock,P - Purchase,,D,nan,3.5000,"7,500",26,nan,"40,109"
